,all_day,close_date,close_time_h,close_time_i,close_time_s,companyNM,content_type,cycle,cycle_day,cycle_week,duration,for_tag,id,is_live,link,lite_archives_id,lite_archives_name,name,one_play,open_date,open_loop,open_time_h,open_time_i,open_time_s,play_mode,play_speed,play_time,play_time_h,play_time_i,play_time_s,play_time_unit,schedule_head_id,select_style_id,source,start,style,style_name,text_content,thumbnail,type,video_id,video_source,video_title,week
747,,,,,,CAC,2,,,,3.0,0,6310,,,['17559'],CACLOGO_white-background.jpg,Digitech New,0,,,,,,,3,,0,1,3,,,,,,,,,,2,,,,
748,,,,,,CAC,1,,,,,0,6310,,,,,Digitech New,,,,,,,2.0,,1,,,,i,,4680,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,hello darkness my old friend,,1,,,,
749,,,,,,CAC,1,,,,,0,6310,,,,,Digitech New,,,,,,,1.0,,10,,,,i,,5754,,,"{""font_size"":""2"",""font_color"":""#ffa500"",""background_color"":"""",""text_align"":""left""}",middle,wooooooow!!!!!,,1,,,,
750,,,,,,CAC,3,,,,5677.0,0,6310,False,https://www.youtube.com/watch?v=3Wf29RiKp70,[],,Digitech New,0,,,,,,,,,0,3,0,,,,1,0.0,,,,https://i.ytimg.com/vi/3Wf29RiKp70/mqdefault.jpg,3,3Wf29RiKp70,,Guardians of the Galaxy: Awesome Mix Vol. 1 & Vol. 2 (Full Soundtrack),
751,,,,,,CAC,3,,,,219.0,0,6310,False,https://www.youtube.com/watch?v=8WqdruA4Zt0,[],,Digitech New,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/8WqdruA4Zt0/mqdefault.jpg,3,8WqdruA4Zt0,,Coomera Anglican College Overview Video,
752,,,,,,MMTSydney,1,,,,,1,3049,,,,,Hello MMT Sydney Team. THIS IS NOT A TEST,,,,,,,2.0,,10,,,,h,,5756,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,"THIS IS NOT A TEST
EVACUATE IMMEDIATELY",,1,,,,
753,,,,,,MMTSydney,1,,,,,1,3049,,,,,Hello MMT Sydney Team. THIS IS NOT A TEST,,,,,,,2.0,,10,,,,h,,5756,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,"THIS IS NOT A TEST
EVACUATE IMMEDIATELY",,1,,,,
754,,,,,,MMTSydney,2,,,,10.0,1,3049,,,['17563'],REEE.JPG,Hello MMT Sydney Team. THIS IS NOT A TEST,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
755,,,,,,MMTSydney,1,,,,,0,6559,,,,,MMT Sydney,,,,,,,2.0,,10,,,,i,,5756,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,"HELLO JOSHUA. I HEARD YOU WERE GAY.
IF YOU ARE, PLEASE LICK THE BUTT OF CHRIS",,1,,,,
756,,,,,,MMTSydney,1,,,,,0,6559,,,,,MMT Sydney,,,,,,,2.0,,10,,,,h,,5756,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,"HELLO MMY SYDNEY! 
THIS IS A TEST!",,1,,,,
757,,,,,,MMTSydney,1,,,,,0,6559,,,,,MMT Sydney,,,,,,,2.0,,10,,,,h,,5756,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,"HELLO MMY SYDNEY! 
THIS IS A TEST!",,1,,,,
758,,,,,,CAC,2,,,,3.0,1,3047,,,['17564'],Listening with Understanding & Empathy.jpg,Year 7,1,,,,,,,3,,0,0,5,,,,,,,,,,2,,,,
759,,,,,,CAC,1,,,,,0,6560,,,,,R3,,,,,,,1.0,,10,,,,i,,4679,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,Test,,1,,,,
760,,,,,,CAC,2,,,,10.0,0,6560,,,['17564'],Listening with Understanding & Empathy.jpg,R3,1,,,,,,,10,,0,0,3,,,,,,,,,,2,,,,
761,,,,,,CAC,2,,,,10.0,0,6560,,,['17564'],Listening with Understanding & Empathy.jpg,R3,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
762,,,,,,CAC,2,,,,10.0,1,3047,,,['17564'],Listening with Understanding & Empathy.jpg,Year 7,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
763,,,,,,CAC,1,,,,,1,3047,,,,,Year 7,,,,,,,1.0,,10,,,,i,,4679,,,"{""font_size"":2,""font_color"":""#ff0000"",""text_align"":""left"",""background_color"":""""}",ifp.style_1,TEST ,,1,,,,
764,,,,,,CAC,2,,,,10.0,1,3047,,,['17564'],Listening with Understanding & Empathy.jpg,Year 7,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
765,,,,,,CAC,2,,,,10.0,0,6561,,,['17564'],Listening with Understanding & Empathy.jpg,R4,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
766,,,,,,CAC,2,,,,10.0,0,6562,,,['17564'],Listening with Understanding & Empathy.jpg,R5,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
767,,,,,,CAC,2,,,,10.0,1,3047,,,['17564'],Listening with Understanding & Empathy.jpg,Year 7,0,,,,,,,10,,0,0,10,,,,,,,,,,2,,,,
768,,,,,,MMTSydney,3,,,,1417.0,1,3048,False,https://www.youtube.com/watch?v=XBKBaMBqFoY,[],,All device,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/XBKBaMBqFoY/mqdefault.jpg,3,XBKBaMBqFoY,,How to MASTER the Art of SELLING - #MentorMeJordan,
769,,,,,,CAC,2,,,,10.0,1,3047,,,['17564'],Listening with Understanding & Empathy.jpg,Year 7,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
770,,,,,,CAC,2,,,,10.0,1,2431,,,['17564'],Listening with Understanding & Empathy.jpg,All device,1,,,,,,,10,,0,0,0,,,,,,,,,,2,,,,
771,,,,,,MMTSydney,3,,,,267.0,1,3048,False,https://www.youtube.com/watch?v=X_DeGCloQWg,[],,All device,1,,,,,,,,,0,0,0,,,,1,0.0,,,,https://i.ytimg.com/vi/X_DeGCloQWg/mqdefault.jpg,3,X_DeGCloQWg,,Hala Al Turk - Happy Happy  #???_????? - ???? ????,
772,,,,,,MMTSydney,1,,,,,1,3048,,,,,All device,,,,,,,2.0,,10,,,,i,,5756,,,"{""font_size"":2,""font_color"":""#ff0000"",""background_color"":"""",""scroll_direction"":""left""}",ifp.style_2,HAPPY BIRTHDAY DAN!,,1,,,,
