"description";"SHID";"COMID";"COMNM"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""NO SCHOOL TOMORROW.... SNOW DAY...."",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23095";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""NO SCHOOL TOMORROW.... SNOW DAY...."",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23096";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""3"",""content_type"":""3"",""name"":""BGI101"",""link"":""https:\/\/www.youtube.com\/watch?v=XZgeBA9TFDk"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":108,""start"":0,""video_title"":""BHS Daily Announcements 1\/22\/18"",""video_id"":""XZgeBA9TFDk"",""video_source"":1}";"23097";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""GO RED RAIDERS!!!"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23098";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""No school"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23099";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""No school"",""select_style_id"":""3771"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":1,""style_name"":""ifp.style_1"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""text_align\"":\""left\"",\""background_color\"":\""\""}""}";"23100";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""Bill is cool"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23101";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""Bill is cool"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23102";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""Bill is cool"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23103";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""NO SCHOOL TOMORROW......BECAUSE IT IS SATURDAY!!!!"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23104";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""NO SCHOOL TOMORROW......BECAUSE IT IS SATURDAY!!!!"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23105";"2366";"BG Innovations"
"{""id"":""4231"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""BGI101"",""text_content"":""NO SCHOOL TOMORROW......BECAUSE IT IS SATURDAY!!!!"",""select_style_id"":""3772"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23106";"2366";"BG Innovations"
"{""id"":""4410"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Schoolhouse BenQ RP7501K demo"",""text_content"":""No school tomorrow.. SNOW DAY !!!!!"",""select_style_id"":""4135"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23228";"2544";"Schoolhouse"
"{""id"":""4410"",""for_tag"":""0"",""type"":""1"",""content_type"":""1"",""name"":""Schoolhouse BenQ RP7501K demo"",""text_content"":""Send Broadcast messages to all your devices with ease!"",""select_style_id"":""4135"",""play_time"":""2"",""play_time_unit"":""h"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23229";"2544";"Schoolhouse"
"{""id"":""2142"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""link"":""https:\/\/www.youtube.com\/watch?v=3aNx-mAq0Hg"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":189,""start"":0,""video_title"":""Alarm Evacuate Building  SOUND EFFECT  freesound"",""video_id"":""3aNx-mAq0Hg"",""video_source"":1}";"23320";"2556";"Computer Allianc"
"{""id"":""2142"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""CODE RED"",""select_style_id"":""4160"",""play_time"":""5"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""ifp.style_2"",""style"":""{\""font_size\"":2,\""font_color\"":\""#ff0000\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23321";"2556";"Computer Allianc"
"{""id"":""2142"",""for_tag"":""1"",""type"":""3"",""content_type"":""3"",""name"":""All device"",""link"":""https:\/\/www.youtube.com\/watch?v=3aNx-mAq0Hg"",""one_play"":""1"",""play_time_h"":""0"",""play_time_i"":""0"",""play_time_s"":""0"",""duration"":189,""start"":0,""video_title"":""Alarm Evacuate Building  SOUND EFFECT  freesound"",""video_id"":""3aNx-mAq0Hg"",""video_source"":1}";"23322";"2556";"Computer Allianc"
"{""id"":""2142"",""for_tag"":""1"",""type"":""1"",""content_type"":""1"",""name"":""All device"",""text_content"":""Hello Joseph - Please hand in your $1000000000 excursion money to Glen"",""select_style_id"":""4159"",""play_time"":""10"",""play_time_unit"":""i"",""play_mode"":2,""style_name"":""General Notice"",""style"":""{\""font_size\"":\""3\"",\""font_color\"":\""#00ff00\"",\""background_color\"":\""\"",\""scroll_direction\"":\""left\""}""}";"23323";"2556";"Computer Allianc"
