"id","company_id","name","com_name","group_id","is_ifp","player_os_version","model_id","model_name","created_at"
"4563","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 04:39:21"
"4564","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 04:51:49"
"4565","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 05:00:00"
"4566","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 05:12:42"
"4567","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 06:26:01"
"4568","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 06:36:31"
"4569","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 06:43:52"
"4570","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 06:53:31"
"4571","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 07:02:14"
"4572","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 07:10:16"
"4573","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 07:21:31"
"4574","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 07:33:30"
"4575","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 07:46:32"
"4576","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 07:57:18"
"4577","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 08:05:39"
"4578","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 08:13:30"
"4579","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 08:23:02"
"4580","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 08:47:34"
"4581","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 08:55:20"
"4582","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 09:04:04"
"4583","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 09:17:44"
"4584","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 09:26:12"
"4585","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 09:36:42"
"4586","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 10:43:32"
"4587","2591","臺北市仁愛國中","Taiwan","4430","1","5.1.1","20","RP860K","2019-03-02 10:53:36"
